A: TGF.Non.v.CON.Non.TT,,,,,,,,,,,,,,,,,,,
B: TpS.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
C: TpK.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
D: TpK.Non.v.TpS.Non.TT,,,,,,,,,,,,,,,,,,,
>> A.only (TGF.Non.v.CON.Non.TT),,,,,,,,,,,,,,,,,,,
,,,,A,,,,,,,,,,,,,,,
PROBE_ID,ILMN_GENE,ACCESSION,CHROMOSOME,FDR_TGF.Non.v.CON.NonNA,FC_TGF.Non.v.CON.Non,AveExpr_TGF.Non.v.CON.Non,t_TGF.Non.v.CON.Non,,,,,,,,,,,,
ILMN_1673566,ADAMTS1,NM_006988.3,21,0.006287656,-3.079817729,9.976004356,-4.3932141,,,,,,,,,,,,
ILMN_1714586,VGLL3,NM_016206.2,3,0.014013842,-2.995343719,8.048665292,-3.920971765,,,,,,,,,,,,
ILMN_1676663,TNFRSF11B,NM_002546.3,8,0.030773636,-2.560519889,8.322638603,-3.435181878,,,,,,,,,,,,
ILMN_2065690,GRAMD3,NM_023927.1,5,0.007784524,-2.522433601,9.511384298,-4.273340985,,,,,,,,,,,,
ILMN_2403237,CHN2,NM_004067.2,7,0.027693276,-2.136479572,7.260383323,-3.498099418,,,,,,,,,,,,
ILMN_1744949,RHOBTB3,NM_014899.3,5,0.006163715,-2.117265353,10.21960965,-4.40581471,,,,,,,,,,,,
ILMN_1749410,PKP4,NM_003628.3,2,0.012941279,-1.986624946,9.548792255,-3.96634159,,,,,,,,,,,,
ILMN_2324421,TXNRD1,NM_182743.1,12,0.028996674,-1.91809958,10.14038575,-3.468905347,,,,,,,,,,,,
ILMN_1778561,WEE1,NM_003390.2,11,0.048435855,-1.856794356,8.15790061,-3.153336975,,,,,,,,,,,,
ILMN_1781700,IL18R1,NM_003855.2,2,0.009838218,-1.782565727,6.631233519,-4.135535205,,,,,,,,,,,,
ILMN_1810172,SFRP4,NM_003014.2,7,0.023974749,-1.754423996,12.11724327,-3.590852636,,,,,,,,,,,,
ILMN_2160727,CYTH3,NM_004227.3,7,0.006240233,-1.694440021,8.396085564,-4.397467297,,,,,,,,,,,,
ILMN_1767662,LASS6,NM_203463.1,2,0.036942623,-1.665502755,8.91714291,-3.317859398,,,,,,,,,,,,
ILMN_1783846,RAPH1,NM_213589.1,2,0.047408996,-1.63618856,9.118282023,-3.166611918,,,,,,,,,,,,
ILMN_2376502,RHOBTB1,NM_198225.1,10,0.031082382,-1.629585771,7.399831047,-3.428455408,,,,,,,,,,,,
ILMN_1695000,TFIP11,NM_001008697.1,22,0.006842013,-1.62875479,7.552483515,-4.342590438,,,,,,,,,,,,
ILMN_1693431,C13ORF31,NM_153218.1,13,0.006287283,-1.625939561,7.115590733,-4.39353497,,,,,,,,,,,,
ILMN_1740861,DTWD1,NM_020234.4,15,0.049279113,-1.598756884,9.276020552,-3.142408737,,,,,,,,,,,,
ILMN_1757183,LOC650494,XM_944224.1,,0.032362399,-1.590536903,6.957274905,-3.401980226,,,,,,,,,,,,
ILMN_1811313,SLIT3,NM_003062.1,5,0.011058151,-1.569230722,11.22475974,-4.059287133,,,,,,,,,,,,
ILMN_3308961,MIR1974,NR_031738.1,,0.037198664,-1.567446747,7.14702523,-3.312901004,,,,,,,,,,,,
ILMN_1774110,CHN2,NM_004067.2,7,0.041430018,-1.546012128,6.646674484,-3.244406518,,,,,,,,,,,,
ILMN_1742044,GNAI1,NM_002069.4,7,0.004616509,-1.538179804,6.920393917,-4.58300451,,,,,,,,,,,,
ILMN_1799015,PXMP2,NM_018663.1,12,0.007339257,-1.532766883,8.728155408,-4.303835712,,,,,,,,,,,,
ILMN_1807873,SNX6,NM_152233.2,14,0.024753783,-1.52215832,9.00876485,-3.56871315,,,,,,,,,,,,
ILMN_1780711,LOC390530,XM_372543.2,21,0.022325093,-1.520356008,9.371666166,-3.635892546,,,,,,,,,,,,
ILMN_3238898,LOC100192378,NR_024360.1,8,0.011688444,-1.487171363,6.744092597,-4.026416548,,,,,,,,,,,,
ILMN_3250209,CTBP2,NM_001329.2,10,0.026238707,-1.476332659,7.568061053,-3.531868167,,,,,,,,,,,,
ILMN_1655952,FAM39E,NM_182905.2,9,0.0222601,-1.472876182,10.69979636,-3.637844069,,,,,,,,,,,,
ILMN_1691341,IL7R,XM_937367.1,,0.001806263,-1.464967237,6.53509595,-5.15480069,,,,,,,,,,,,
ILMN_3244893,BAG2,NM_004282.3,6,0.013513284,-1.440764763,8.137496541,-3.94097041,,,,,,,,,,,,
ILMN_1695991,COLQ,NM_080544.2,3,0.035060084,-1.430114568,6.89840879,-3.35173475,,,,,,,,,,,,
ILMN_2157277,AKR1D1,NM_005989.2,7,0.038716464,-1.428037175,12.43483985,-3.286274589,,,,,,,,,,,,
ILMN_1821531,HS.569162,AV681673,12,0.013150558,-1.427283804,6.671944515,-3.95799372,,,,,,,,,,,,
ILMN_1718769,ITSN1,NM_001001132.1,21,0.008337425,-1.410622927,9.508486876,-4.23474957,,,,,,,,,,,,
